id_equipamento,tipo_servico,desc_servico,date_created
7,planejada,Uuxydbl,9/10/2020
6,corretivo,Pykhsuj,9/24/2020
7,preventivo,Pgailkn,11/15/2019
1,preventivo,Jvzytlc,9/25/2020
3,planejada,Lnqegql,11/5/2019
2,planejada,Tnmpbls,5/11/2020
5,planejada,Eppheiz,11/11/2019
8,planejada,Fzwrvsj,5/26/2020
4,corretivo,Goyudyb,1/20/2020
3,planejada,Wynnabz,2/6/2020
7,planejada,Jwexwor,11/13/2019
1,corretivo,Fyosdyw,3/7/2020
9,corretivo,Pawdpuo,3/21/2020
8,preventivo,Jrrfkar,10/4/2019
1,preventivo,Xvblwtj,5/15/2020
10,preventivo,Akzcyfn,12/27/2019
9,planejada,Sagkgwh,3/9/2020
1,planejada,Kycstif,6/7/2020
3,corretivo,Oklrljo,12/3/2019
3,corretivo,Mvrfgqq,3/28/2020
9,planejada,Ptqwakx,9/12/2020
7,corretivo,Tctwgwr,3/11/2020
10,preventivo,Utipjno,12/13/2019
7,corretivo,Rolwxiv,4/18/2020
3,corretivo,Eoemklh,9/24/2020
3,corretivo,Nslxwsq,12/21/2019
9,planejada,Kmjqsym,4/1/2020
10,preventivo,Hqegskf,4/10/2020
2,corretivo,Centtdx,4/11/2020
5,planejada,Ervsmpj,8/9/2020
10,preventivo,Vfqtvds,5/11/2020
9,corretivo,Lhkfgsd,5/26/2020
8,preventivo,Xtdnyjt,1/29/2020
8,corretivo,Rolchcf,4/2/2020
9,corretivo,Pwkivpv,4/17/2020
8,planejada,Srvgiqd,7/24/2020
7,corretivo,Rurajeg,7/9/2020
8,planejada,Jwuidcp,3/25/2020
1,preventivo,Ietiivl,1/12/2020
3,planejada,Fnhskhu,7/6/2020
5,preventivo,Lciactw,2/8/2020
10,corretivo,Kxbzkcm,6/3/2020
3,planejada,Iihmcgw,7/7/2020
4,preventivo,Mpydyzu,4/11/2020
7,planejada,Kgdvjbl,6/21/2020
2,corretivo,Ytzaygt,10/12/2019
3,preventivo,Mzvaxhq,11/12/2019
8,preventivo,Doqtkmx,4/6/2020
1,planejada,Kzcmamn,3/8/2020
5,planejada,Fpnxjrh,4/27/2020
9,preventivo,Kotgjef,11/26/2019
2,planejada,Jeeklkb,9/3/2020
2,preventivo,Mdaqkph,1/2/2020
7,planejada,Oujnnjb,3/8/2020
1,preventivo,Elfusfk,2/21/2020
6,preventivo,Egbfdie,9/13/2020
6,preventivo,Vlijwyy,7/10/2020
7,planejada,Adpljod,1/6/2020
5,planejada,Hpwuize,10/22/2019
5,corretivo,Blfvdtl,8/5/2020
2,corretivo,Ytxgije,2/9/2020
2,corretivo,Dwdawvm,3/2/2020
3,planejada,Mvoqvvl,3/2/2020
9,planejada,Zrkbose,9/3/2020
9,corretivo,Ihdybhv,5/30/2020
10,preventivo,Jbksywr,8/26/2020
6,planejada,Oxjreen,9/10/2020
6,preventivo,Zqpdxsb,7/7/2020
1,preventivo,Wbdtwcx,5/31/2020
7,preventivo,Pzqhjmm,1/24/2020
9,planejada,Tuqbpip,3/3/2020
7,corretivo,Iqqrxlr,7/7/2020
8,preventivo,Fvohhyd,5/1/2020
1,corretivo,Ahkpypy,6/26/2020
7,preventivo,Yboeljr,9/20/2020
9,corretivo,Uzboccq,11/27/2019
3,planejada,Tadmqnm,4/17/2020
4,preventivo,Wthjrpb,3/2/2020
6,planejada,Sfhwsuj,12/11/2019
4,planejada,Ytpkblq,2/4/2020
3,planejada,Yecypdp,12/8/2019
2,corretivo,Mvremza,9/28/2020
6,corretivo,Rcpqdwa,6/1/2020
3,corretivo,Zralujg,11/21/2019
5,planejada,Ehmdxlr,3/24/2020
2,planejada,Qxhpnwy,1/25/2020
5,corretivo,Dwjliqv,1/22/2020
5,preventivo,Vpesvdk,12/10/2019
5,corretivo,Wzocjmn,5/7/2020
4,planejada,Myjficm,5/27/2020
4,preventivo,Yjgybzf,2/20/2020
1,planejada,Estevsw,6/1/2020
4,corretivo,Gntgumk,11/23/2019
8,preventivo,Kudoknw,9/12/2020
5,corretivo,Sjkntzm,6/30/2020
10,preventivo,Dnhxvwu,4/4/2020
5,corretivo,Xvyjagx,9/23/2020
3,preventivo,Uexrzsx,4/25/2020
4,preventivo,Ufvsocg,12/12/2019
9,preventivo,Kndcmab,3/9/2020
1,corretivo,Eidryii,7/30/2020
7,preventivo,Bdkigit,7/26/2020
7,planejada,Kwhrcpg,1/9/2020
4,preventivo,Lpqxrpb,11/1/2019
6,preventivo,Lfmcvdl,4/1/2020
3,planejada,Imuypvw,5/2/2020
1,planejada,Uexyirt,1/17/2020
9,preventivo,Xgjaulc,2/12/2020
2,planejada,Zbjbyrb,5/14/2020
7,corretivo,Hjgedcv,6/18/2020
8,preventivo,Quhwhch,2/10/2020
9,planejada,Dsqzzfp,6/11/2020
9,planejada,Xrbnnaf,6/23/2020
9,corretivo,Ysbqqvk,9/28/2020
1,planejada,Ramvcmb,1/27/2020
5,preventivo,Stegiaz,12/14/2019
3,corretivo,Qbsevpo,5/17/2020
9,preventivo,Vgcewhb,5/25/2020
8,corretivo,Ianpujr,10/16/2019
2,corretivo,Ejgosgn,1/21/2020
5,corretivo,Jzzguxz,8/22/2020
1,planejada,Xmqnwww,12/14/2019
1,planejada,Atdglze,7/29/2020
5,planejada,Scemfez,12/30/2019
7,corretivo,Oyzfkmh,6/5/2020
10,preventivo,Ehptqty,3/13/2020
1,corretivo,Mdgfcla,10/10/2019
10,planejada,Szdbknz,4/5/2020
9,corretivo,Itajvyd,2/4/2020
10,planejada,Ijgciqj,11/18/2019
1,preventivo,Bafiris,1/8/2020
7,planejada,Gxcqgqy,11/4/2019
1,corretivo,Zzmogki,10/29/2019
5,planejada,Pzcfgfj,8/8/2020
3,preventivo,Klpxhge,11/12/2019
7,planejada,Jwgxijr,5/8/2020
10,corretivo,Obrxuaa,3/28/2020
4,corretivo,Ukgnvdi,11/4/2019
2,preventivo,Fyhsbpf,1/4/2020
6,planejada,Lsfilei,10/7/2019
5,preventivo,Ltyfgzp,9/16/2020
3,preventivo,Qgqxwxe,6/6/2020
8,preventivo,Dyfcqcd,5/10/2020
8,planejada,Dthycul,2/2/2020
6,corretivo,Celwhnx,2/28/2020
7,preventivo,Vkjxdwi,1/26/2020
10,planejada,Yhkmust,6/12/2020
7,corretivo,Qqewxmw,6/15/2020
8,planejada,Jxbzvbi,12/17/2019
3,corretivo,Fnaakhk,11/22/2019
1,corretivo,Bdthemw,7/30/2020
2,corretivo,Lhveuxk,3/22/2020
2,corretivo,Hzimeps,1/6/2020
2,preventivo,Uumvrsg,9/17/2020
7,planejada,Zdurjbt,4/5/2020
8,planejada,Krezmgz,8/26/2020
8,planejada,Ovkwmlw,7/3/2020
8,preventivo,Iakyxzr,12/9/2019
3,planejada,Eyxrzjz,8/9/2020
4,corretivo,Wyzorll,8/5/2020
7,planejada,Zenlcbo,7/22/2020
4,preventivo,Lbimxnb,7/25/2020
1,corretivo,Yvriybn,10/7/2019
5,preventivo,Zhhvdjt,4/14/2020
3,preventivo,Bszktvt,7/21/2020
8,planejada,Ehxbowc,9/1/2020
9,corretivo,Hthtdrk,1/16/2020
10,preventivo,Jkajauc,2/5/2020
5,planejada,Gnppjun,5/1/2020
3,corretivo,Sbqxhfv,12/4/2019
9,planejada,Xjqaeuy,5/7/2020
3,preventivo,Ucwxvur,9/1/2020
2,planejada,Nbtmljm,2/7/2020
3,preventivo,Lkrenww,9/16/2020
10,planejada,Swydhar,3/24/2020
7,planejada,Pzscuqi,8/20/2020
6,corretivo,Xhrfcxu,2/8/2020
5,preventivo,Obsvrln,2/8/2020
8,preventivo,Icenmha,10/1/2019
7,preventivo,Jejrgpp,10/2/2019
2,planejada,Iasiuvu,10/5/2019
10,preventivo,Bleroxm,6/15/2020
6,preventivo,Yuscntr,3/26/2020
2,corretivo,Tnpochn,12/21/2019
7,planejada,Hdjgrdn,4/22/2020
3,corretivo,Fkffssj,5/28/2020
5,planejada,Ypsvlvf,8/26/2020
7,corretivo,Ykghdjf,5/13/2020
9,preventivo,Qyyikpe,3/15/2020
6,planejada,Qlsggst,4/8/2020
6,planejada,Fslejmj,7/10/2020
6,planejada,Mxjhxsi,10/6/2019
8,corretivo,Bsfpzhd,4/4/2020
1,planejada,Azkijxb,11/13/2019
10,preventivo,Gfomtjk,4/26/2020
9,corretivo,Ervfcje,7/13/2020
4,planejada,Kkvrquy,2/14/2020
3,corretivo,Cjwkafq,6/12/2020
6,preventivo,Nginqko,10/16/2019
2,planejada,Jifukqh,12/8/2019
10,corretivo,Snaidwf,8/19/2020
9,corretivo,Cvlmvgr,8/29/2020
2,planejada,Ierldjx,7/14/2020
2,corretivo,Uhtvxnf,6/3/2020
5,corretivo,Atuxfqk,12/10/2019
3,preventivo,Hhppbzu,4/8/2020
10,planejada,Djudnau,1/31/2020
10,preventivo,Ovjoouz,2/17/2020
7,preventivo,Brcjrwt,8/24/2020
9,corretivo,Tvubfgp,2/7/2020
6,corretivo,Xrszqme,2/7/2020
3,preventivo,Wrstwdf,10/28/2019
5,preventivo,Dxfasid,8/27/2020
5,preventivo,Zmcweqm,3/23/2020
1,corretivo,Ezoohoh,3/27/2020
8,preventivo,Yuawotf,3/28/2020
10,planejada,Pmckluj,6/24/2020
1,preventivo,Xfkyzwo,1/7/2020
3,planejada,Omkqxud,6/19/2020
2,planejada,Entgjtp,4/20/2020
9,preventivo,Maqlnmi,7/23/2020
1,planejada,Heunfte,2/1/2020
2,corretivo,Hgxgdjj,12/22/2019
1,preventivo,Iwkzfol,3/16/2020
8,corretivo,Yigmfqs,5/3/2020
5,planejada,Haunkqj,5/21/2020
5,planejada,Hkmdoyu,1/31/2020
4,planejada,Erhjkzg,11/16/2019
4,corretivo,Tfjkhqq,5/12/2020
8,corretivo,Rdoviru,6/10/2020
3,planejada,Bcganrs,9/14/2020
4,preventivo,Ludqkmf,11/10/2019
5,corretivo,Oaqhzzt,8/15/2020
6,planejada,Krshoet,12/22/2019
7,planejada,Unxvems,1/11/2020
10,preventivo,Vmlxrhh,10/23/2019
7,corretivo,Ftomyon,1/27/2020
8,corretivo,Altlbuq,4/9/2020
1,corretivo,Rsluick,3/18/2020
6,corretivo,Ceuquij,8/25/2020
5,preventivo,Hhyzhcf,4/11/2020
1,corretivo,Majvbkc,3/21/2020
8,corretivo,Ndoomiu,8/5/2020
1,corretivo,Jxvataz,6/3/2020
4,planejada,Dkjyrfn,2/9/2020
1,preventivo,Vjbcczs,5/17/2020
7,planejada,Nhgblil,1/14/2020
5,preventivo,Ezmtxdw,2/26/2020
7,preventivo,Obhemoa,3/21/2020
2,corretivo,Ouhhriv,3/14/2020
4,planejada,Plzbisy,8/13/2020
6,corretivo,Jcecskq,1/27/2020
9,corretivo,Slqbebm,11/10/2019
7,planejada,Dldzlbt,9/27/2020
3,planejada,Uezwmzv,4/29/2020
10,corretivo,Gapuiyk,5/24/2020
8,preventivo,Pgtfndo,4/29/2020
3,planejada,Evfcubx,4/4/2020
4,planejada,Xyebbfd,5/22/2020
4,preventivo,Awbzuzt,8/16/2020
9,corretivo,Gjhrfvb,11/11/2019
5,planejada,Uvhnbzb,7/17/2020
4,preventivo,Snkvjpd,7/25/2020
4,corretivo,Omfwpyz,4/21/2020
10,planejada,Acdssep,11/17/2019
1,corretivo,Tcwfbbu,7/22/2020
10,corretivo,Mjyumur,1/31/2020
10,corretivo,Eewxlmc,1/16/2020
3,corretivo,Vygdrnt,4/26/2020
10,planejada,Lxwoqrq,2/28/2020
2,planejada,Btqnxur,10/10/2019
9,corretivo,Nhsglbq,12/16/2019
10,preventivo,Uvnanry,9/9/2020
1,planejada,Ikasnxa,8/27/2020
4,preventivo,Pcedbnp,1/7/2020
9,planejada,Cxdpccc,2/12/2020
9,preventivo,Cwjnudq,2/15/2020
10,corretivo,Kuumydi,12/9/2019
2,planejada,Pvsbwpn,9/7/2020
8,planejada,Yhcumdm,2/3/2020
6,planejada,Wezhyjx,1/9/2020
9,corretivo,Qhebimz,12/20/2019
6,planejada,Jpswntl,8/31/2020
7,corretivo,Wjobhwn,5/21/2020
5,corretivo,Mcgkcfi,5/4/2020
2,corretivo,Haubtrr,11/29/2019
7,preventivo,Zgnylnd,12/22/2019
7,planejada,Dqlqsqx,11/15/2019
2,corretivo,Xbrfikn,11/19/2019
9,planejada,Ynbmytz,4/1/2020
4,preventivo,Imbxitv,7/25/2020
10,planejada,Bpykuht,8/5/2020
4,planejada,Ubtoxmf,11/13/2019
5,corretivo,Zclvigf,8/6/2020
1,planejada,Epnibez,7/1/2020
6,corretivo,Ikerndp,6/8/2020
10,planejada,Wsktkrs,1/12/2020
9,corretivo,Hplmyaa,2/24/2020
4,corretivo,Nmllozb,3/15/2020
9,corretivo,Ymfutpt,6/20/2020
10,planejada,Wnvdsba,11/30/2019
10,preventivo,Hkqvpmq,5/20/2020
1,preventivo,Mybvkex,11/16/2019
4,preventivo,Ogvjawj,5/22/2020
4,planejada,Blqxdmn,8/9/2020
5,planejada,Ckwgonq,8/23/2020
3,preventivo,Jlqldht,11/19/2019
6,preventivo,Qhhjcca,12/14/2019
7,planejada,Kndfrxb,10/17/2019
8,corretivo,Uywrpdy,9/30/2019
3,corretivo,Wrtxpxw,3/18/2020
8,corretivo,Owpmdpp,2/17/2020
8,corretivo,Tohisjq,9/15/2020
7,corretivo,Aitvniy,3/6/2020
9,corretivo,Ajwaxgi,9/16/2020
3,preventivo,Elanzzn,8/18/2020
9,preventivo,Oaigsmu,3/25/2020
8,corretivo,Bpwiaqx,9/4/2020
4,preventivo,Wmckkol,12/17/2019
1,corretivo,Retnwve,3/5/2020
9,planejada,Enlbhxr,8/9/2020
7,corretivo,Btrkvcl,4/12/2020
7,planejada,Eoegfzq,6/26/2020
2,corretivo,Axquavs,3/18/2020
4,corretivo,Tsdnian,3/22/2020
5,preventivo,Pqliald,7/22/2020
4,corretivo,Jriyhjl,12/4/2019
4,planejada,Slcdrew,10/14/2019
6,preventivo,Pmuuuor,11/14/2019
10,planejada,Dzdwtdb,5/20/2020
5,planejada,Jlxwuyj,8/28/2020
2,corretivo,Lkgbcgc,2/14/2020
7,preventivo,Qqwndlp,3/8/2020
3,corretivo,Vljpbvo,6/13/2020
6,corretivo,Kzmlkhc,5/22/2020
3,planejada,Tkgtpcv,9/29/2020
7,preventivo,Zpzrnia,11/25/2019
7,planejada,Dparfbl,9/27/2020
1,corretivo,Hgrkkys,11/10/2019
4,preventivo,Zrrbket,9/2/2020
4,corretivo,Axyuykj,8/2/2020
1,planejada,Rjbsftd,4/30/2020
6,preventivo,Qpexqzc,7/23/2020
1,corretivo,Mdvodbu,4/28/2020
2,corretivo,Ulhdjcc,7/14/2020
4,preventivo,Wkxsrpt,8/25/2020
10,preventivo,Hyutixy,12/4/2019
10,preventivo,Mgtyopb,9/9/2020
5,planejada,Tshpkhb,12/11/2019
5,planejada,Csdphpp,4/6/2020
2,corretivo,Nzvodpd,2/4/2020
1,preventivo,Smkivmz,8/7/2020
7,corretivo,Qgctmoj,6/15/2020
6,preventivo,Vnvqknz,10/17/2019
7,planejada,Hkbdnaa,1/10/2020
8,planejada,Lhuwpgg,1/9/2020
1,corretivo,Qpwogbl,3/19/2020
2,corretivo,Tceujtz,7/21/2020
7,planejada,Txowmwi,10/22/2019
4,corretivo,Tjumqwh,10/18/2019
8,preventivo,Gwzvlwn,8/9/2020
10,corretivo,Xcykxpz,9/20/2020
10,preventivo,Udzulot,10/13/2019
5,planejada,Beocvix,10/19/2019
4,preventivo,Hsvdwsy,9/3/2020
10,planejada,Wghbpha,4/13/2020
6,corretivo,Qkclxek,3/26/2020
5,corretivo,Vzbsgkq,1/23/2020
8,planejada,Tgmixqw,6/12/2020
8,preventivo,Qfhzwrd,5/9/2020
1,planejada,Nvhaqnx,12/13/2019
5,planejada,Ncvomjp,5/9/2020
6,preventivo,Uihxgnu,11/1/2019
3,planejada,Tigtovs,5/25/2020
6,corretivo,Brhudhr,3/6/2020
10,corretivo,Iwjjdpm,3/11/2020
2,preventivo,Fkzqfqw,8/9/2020
2,preventivo,Sozffsm,12/7/2019
2,corretivo,Akqzczk,11/19/2019
6,corretivo,Acklpxw,3/26/2020
9,preventivo,Rzrjrke,9/23/2020
1,planejada,Niocbzi,7/19/2020
10,planejada,Cnqmndl,9/27/2020
6,planejada,Dnleoqy,8/29/2020
1,planejada,Htweiji,5/24/2020
5,corretivo,Xgnzpmg,9/23/2020
6,planejada,Clubxgc,1/11/2020
1,planejada,Mhdkmlk,12/17/2019
10,preventivo,Itnjzec,2/24/2020
9,corretivo,Lxiencp,5/2/2020
3,preventivo,Tdterer,4/21/2020
8,preventivo,Jxnacix,5/10/2020
10,preventivo,Zuldfiv,7/17/2020
5,planejada,Awrkdhi,6/19/2020
5,planejada,Bjngohk,5/31/2020
10,planejada,Gxcijco,5/12/2020
6,corretivo,Wwomieu,1/31/2020
8,corretivo,Pyouwxf,12/22/2019
9,planejada,Pjcftdp,4/27/2020
2,corretivo,Wfclxrf,4/21/2020
1,corretivo,Tjgdtqm,5/16/2020
3,planejada,Djqgzhz,11/26/2019
10,corretivo,Uanbjmq,11/9/2019
5,corretivo,Tnmyplb,3/1/2020
6,corretivo,Vumufoz,10/17/2019
5,corretivo,Haxnvji,9/10/2020
8,corretivo,Qaeoavs,8/25/2020
